type,flagname,default
bool,UseAdaptiveGenerationSizePolicyAtMajorCollection,true
bool,UseAdaptiveGenerationSizePolicyAtMinorCollection,true
bool,UseAdaptiveNUMAChunkSizing,true
bool,UseAdaptiveSizeDecayMajorGCCost,true
bool,UseAdaptiveSizePolicy,true
bool,UseAdaptiveSizePolicyFootprintGoal,true
bool,UseAdaptiveSizePolicyWithSystemGC,false
bool,UseAddressNop,true
bool,UseAltSigs,false
bool,UseAutoGCSelectPolicy,false
bool,UseBMI1Instructions,false
bool,UseBMI2Instructions,false
bool,UseBiasedLocking,true
bool,UseBimorphicInlining,true
bool,UseBoundThreads,true
bool,UseCLMUL,true
bool,UseCMSBestFit,true
bool,UseCMSCollectionPassing,true
bool,UseCMSCompactAtFullCollection,true
bool,UseCMSInitiatingOccupancyOnly,false
bool,UseCRC32Intrinsics,true
bool,UseCodeCacheFlushing,true
bool,UseCompiler,true
bool,UseCompilerSafepoints,true
bool,UseCompressedClassPointers,true
bool,UseCompressedOops,true
bool,UseConcMarkSweepGC,false
bool,UseCondCardMark,false
bool,UseCountLeadingZerosInstruction,false
bool,UseCountTrailingZerosInstruction,false
bool,UseCountedLoopSafepoints,false
bool,UseCounterDecay,true
bool,UseDivMod,true
bool,UseDynamicNumberOfGCThreads,false
bool,UseFPUForSpilling,true
bool,UseFastAccessorMethods,false
bool,UseFastEmptyMethods,false
bool,UseFastJNIAccessors,true
bool,UseFastStosb,true
bool,UseG1GC,false
bool,UseGCLogFileRotation,false
bool,UseGCOverheadLimit,true
bool,UseGCTaskAffinity,false
bool,UseHeavyMonitors,false
bool,UseHugeTLBFS,false
bool,UseInlineCaches,true
bool,UseInterpreter,true
bool,UseJumpTables,true
bool,UseLWPSynchronization,true
bool,UseLargePages,false
bool,UseLargePagesInMetaspace,false
bool,UseLargePagesIndividualAllocation,false
bool,UseLinuxPosixThreadCPUClocks,true
bool,UseLockedTracing,false
bool,UseLoopCounter,true
bool,UseLoopInvariantCodeMotion,true
bool,UseLoopPredicate,true
bool,UseMathExactIntrinsics,true
bool,UseMaximumCompactionOnSystemGC,true
bool,UseMembar,false
bool,UseMontgomeryMultiplyIntrinsic,false
bool,UseMontgomerySquareIntrinsic,false
bool,UseMulAddIntrinsic,false
bool,UseMultiplyToLenIntrinsic,true
bool,UseNUMA,false
bool,UseNUMAInterleaving,false
bool,UseNewLongLShift,false
bool,UseOSErrorReporting,false
bool,UseOldInlining,true
bool,UseOnStackReplacement,true
bool,UseOnlyInlinedBimorphic,true
bool,UseOprofile,false
bool,UseOptoBiasInlining,true
bool,UsePSAdaptiveSurvivorSizePolicy,true
bool,UseParNewGC,false
bool,UseParallelGC,true
bool,UseParallelOldGC,true
bool,UsePerfData,true
bool,UsePopCountInstruction,true
bool,UseRDPCForConstantTableBase,false
bool,UseRTMDeopt,false
bool,UseRTMLocking,false
bool,UseSHA,false
bool,UseSHA1Intrinsics,false
bool,UseSHA256Intrinsics,false
bool,UseSHA512Intrinsics,false
bool,UseSHM,false
intx,UseSSE,4
bool,UseSSE42Intrinsics,true
bool,UseSerialGC,false
bool,UseSharedSpaces,false
bool,UseSignalChaining,true
bool,UseSquareToLenIntrinsic,false
bool,UseStoreImmI16,false
bool,UseStringDeduplication,false
bool,UseSuperWord,true
bool,UseTLAB,true
bool,UseThreadPriorities,true
bool,UseTransparentHugePages,false
bool,UseTypeProfile,true
bool,UseTypeSpeculation,true
bool,UseUnalignedLoadStores,true
bool,UseVMInterruptibleIO,false
bool,UseXMMForArrayCopy,true
bool,UseXmmI2D,false
bool,UseXmmI2F,false
bool,UseXmmLoadAndClearUpper,true
bool,UseXmmRegToRegMoveAll,true
bool,VMThreadHintNoPreempt,false
intx,VMThreadPriority,-1
intx,VMThreadStackSize,1024
intx,ValueMapInitialSize,11
intx,ValueMapMaxLoopSize,8
intx,ValueSearchLimit,1000
bool,VerifyMergedCPBytecodes,true
bool,VerifySharedSpaces,false
intx,WorkAroundNPTLTimedWaitHang,1
uintx,YoungGenerationSizeIncrement,20
uintx,YoungGenerationSizeSupplement,80
uintx,YoungGenerationSizeSupplementDecay,8
uintx,YoungPLABSize,4096
bool,ZeroTLAB,false
intx,hashCode,5
